id_fibra,classe,file,durata_s,rms_dbfs,picco_dbfs,crest_db,clipping_pct,baricentro_hz,banda_spettrale_hz,flatness_spettrale,rolloff_85_hz,rolloff_95_hz,picco_spettrale_hz,energia_bassa_pct,energia_media_pct,energia_alta_pct,kurtosis,skewness,zero_crossing_rate_hz
fibra1,MOTORE,campione_1785917754688.wav,5.0,-6.544051557149192,8.685890352395823e-09,6.544051565835082,0.02666666666666667,5999.998790567956,4349.351013220871,0.09427708037568806,11901.2,12000.0,12000.0,37.10467683355729,9.55521042326076,53.34011274318195,0.2267711655982274,-0.11624360075918672,6112.4
fibra1,MOTORE,campione_1785917759760.wav,5.0,-6.434833122653993,8.685890352395823e-09,6.434833131339883,0.035,5999.99853837515,4288.551392464147,0.09345862785042339,11868.400000000001,12000.0,12000.0,37.009112194770985,9.496501329260875,53.49438647596811,0.16309202727008643,-0.1318038276439469,6354.8
fibra1,MOTORE,campione_1785917764721.wav,5.0,-6.467594740959455,8.685890352395823e-09,6.467594749645345,0.029166666666666667,5999.998200564243,4245.634518982997,0.07939636378379288,11901.2,12000.0,12000.0,38.18181990468206,8.697509397976258,53.120670697341694,0.14902647110237544,-0.1253288917220864,6224.0
fibra1,MOTORE,campione_1785917769822.wav,5.0,-6.379628767055863,8.685890352395823e-09,6.379628775741753,0.0225,5999.999050409947,4168.791988966031,0.06723622429467184,11901.0,12000.0,12000.0,39.943206344330555,7.1979629555209055,52.85883070014857,0.06489466509712916,-0.14885051412602457,6221.2
fibra1,MOTORE,campione_1785917774738.wav,5.0,-6.414567400528561,8.685890352395823e-09,6.414567409214452,0.025833333333333333,5999.999095250077,4158.818983191469,0.06413502963144446,11901.0,12000.0,12000.0,40.21106878912429,7.044278742011684,52.744652468864025,0.057054289427193705,-0.15233768110879448,6336.0
fibra1,MOTORE,campione_1785917779787.wav,5.0,-6.220131435614311,8.685890352395823e-09,6.220131444300201,0.021666666666666667,5999.999201263628,4168.922968011886,0.06477168909876839,11901.2,12000.0,12000.0,39.96500907753594,7.252595948556745,52.78239497390734,-0.0014191019229823354,-0.11478509734317052,5786.0
fibra1,MOTORE,campione_1785917784684.wav,5.0,-6.434425962519853,8.685890352395823e-09,6.4344259712057434,0.023333333333333334,5999.9982921318615,4279.387397018539,0.07105289427244366,11901.2,12000.0,12000.0,39.27292439394952,7.965456932482468,52.761618673568016,0.05641252039504163,-0.10134994435330666,4782.2
fibra1,MOTORE,campione_1785917789875.wav,5.0,-6.838287526371092,8.685890352395823e-09,6.838287535056982,0.018333333333333333,5999.9981204507585,4221.837147627752,0.07423431236069541,11901.2,12000.0,12000.0,38.151208127467115,8.873371652823225,52.97542021970969,0.2070810006200845,-0.2169349781790745,4902.6
fibra1,MOTORE,campione_1785917794887.wav,5.0,-6.987236352126034,8.685890352395823e-09,6.987236360811925,0.016666666666666666,5999.998305063367,4142.99996702887,0.07157365793888905,11802.6,11999.800000000001,12000.0,37.642957287843274,9.167953410453487,53.18908930170324,0.2518149285466893,-0.2519488515491133,5066.4
fibra1,MOTORE,campione_1785917799757.wav,5.0,-6.751149150221375,8.685890352395823e-09,6.751149158907265,0.024166666666666666,5999.996399091274,4503.649430923254,0.08511544579190052,11901.2,11999.800000000001,12000.0,38.82502415457574,8.470367311189845,52.704608534234396,0.13145465151826752,-0.13300740150881668,4602.4
