id_fibra,banda_hz,banda_min_hz,banda_max_hz,risposta_dbfs,rumore_dbfs,snr_db,banda_coperta,risposta_std_db,std_sospetta,registrazione_sospetta,n_registrazioni_sweep,n_registrazioni_escluse_clip,confidenza_allineamento_min,confidenza_allineamento_media,confidenza_allineamento_max,significativita_min_fibra,significativita_media_fibra,n_allineamenti_incerti_fibra,std_offset_ms_fibra,copertura_pct_fibra,snr_medio_fibra,snr_minimo_fibra,banda_piu_debole_fibra
fibra1,20-27Hz,20.0,26.600270829256047,-68.57918593635017,-71.83187674855228,3.252690812202104,False,1.5101935871668748,False,,18,0,0.008853973319178268,0.026024504188241603,0.056361154523419055,4.39148408645483,13.784413660515535,1,496.5885742154402,85.0,8.135957836199319,3.252690812202104,20-27Hz
fibra1,27-35Hz,26.600270829256047,35.37872040948852,-69.03603993491153,nan,nan,False,1.1460434037655207,False,,18,0,0.008853973319178268,0.026024504188241603,0.056361154523419055,4.39148408645483,13.784413660515535,1,496.5885742154402,85.0,8.135957836199319,3.252690812202104,20-27Hz
fibra1,35-47Hz,35.37872040948852,47.05417722424615,-65.62722368941866,-74.3125027418687,8.685279052450042,True,3.251840054347401,True,campione_1785917091240.wav,18,0,0.008853973319178268,0.026024504188241603,0.056361154523419055,4.39148408645483,13.784413660515535,1,496.5885742154402,85.0,8.135957836199319,3.252690812202104,20-27Hz
fibra1,47-63Hz,47.05417722424615,62.58269289063796,-65.0243698548793,nan,nan,False,3.2226298444721677,True,campione_1785917091240.wav,18,0,0.008853973319178268,0.026024504188241603,0.056361154523419055,4.39148408645483,13.784413660515535,1,496.5885742154402,85.0,8.135957836199319,3.252690812202104,20-27Hz
fibra1,63-83Hz,62.58269289063796,83.23582900575636,-62.49506497113038,-75.07044499852229,12.575380027391908,True,3.252259969788469,True,campione_1785917520682.wav,18,0,0.008853973319178268,0.026024504188241603,0.056361154523419055,4.39148408645483,13.784413660515535,1,496.5885742154402,85.0,8.135957836199319,3.252690812202104,20-27Hz
fibra1,83-111Hz,83.23582900575636,110.70477971253825,-61.499791600940455,-69.7219128562508,8.222121255310341,True,4.074938790015578,True,campione_1785917265991.wav,18,0,0.008853973319178268,0.026024504188241603,0.056361154523419055,4.39148408645483,13.784413660515535,1,496.5885742154402,85.0,8.135957836199319,3.252690812202104,20-27Hz
fibra1,111-147Hz,110.70477971253825,147.23885612233238,-56.632619240762224,-69.25445620499745,12.621836964235229,True,4.929836876583282,True,campione_1785917556062.wav,18,0,0.008853973319178268,0.026024504188241603,0.056361154523419055,4.39148408645483,13.784413660515535,1,496.5885742154402,85.0,8.135957836199319,3.252690812202104,20-27Hz
fibra1,147-196Hz,147.23885612233238,195.82967247219528,-61.14391979218525,-73.88349570788147,12.739575915696214,True,6.276330532887638,True,campione_1785917265991.wav,18,0,0.008853973319178268,0.026024504188241603,0.056361154523419055,4.39148408645483,13.784413660515535,1,496.5885742154402,85.0,8.135957836199319,3.252690812202104,20-27Hz
fibra1,196-260Hz,195.82967247219528,260.4561162082451,-67.73910387176969,-76.91573577492561,9.176631903155922,True,5.492697862746106,True,campione_1785917392996.wav,18,0,0.008853973319178268,0.026024504188241603,0.056361154523419055,4.39148408645483,13.784413660515535,1,496.5885742154402,85.0,8.135957836199319,3.252690812202104,20-27Hz
fibra1,260-346Hz,260.4561162082451,346.41016151377556,-70.32243333784409,-77.21949143654102,6.897058098696931,True,3.4389133687842013,True,campione_1785917392996.wav,18,0,0.008853973319178268,0.026024504188241603,0.056361154523419055,4.39148408645483,13.784413660515535,1,496.5885742154402,85.0,8.135957836199319,3.252690812202104,20-27Hz
fibra1,346-461Hz,346.41016151377556,460.7302057136375,-70.030004947495,-77.19262469558707,7.1626197480920695,True,7.072841669405481,True,campione_1785917106829.wav,18,0,0.008853973319178268,0.026024504188241603,0.056361154523419055,4.39148408645483,13.784413660515535,1,496.5885742154402,85.0,8.135957836199319,3.252690812202104,20-27Hz
fibra1,461-613Hz,460.7302057136375,612.777412560081,-70.35751004412826,-77.41324750636606,7.055737462237801,True,4.5324919900070135,True,campione_1785917503244.wav,18,0,0.008853973319178268,0.026024504188241603,0.056361154523419055,4.39148408645483,13.784413660515535,1,496.5885742154402,85.0,8.135957836199319,3.252690812202104,20-27Hz
fibra1,613-815Hz,612.777412560081,815.0022566074459,-70.58569545843886,-77.41857680670321,6.832881348264351,True,1.9160190764001468,False,,18,0,0.008853973319178268,0.026024504188241603,0.056361154523419055,4.39148408645483,13.784413660515535,1,496.5885742154402,85.0,8.135957836199319,3.252690812202104,20-27Hz
fibra1,815-1084Hz,815.0022566074459,1083.9640376106447,-70.77884036830041,-77.32645685197302,6.547616483672613,True,1.1754347548264177,False,,18,0,0.008853973319178268,0.026024504188241603,0.056361154523419055,4.39148408645483,13.784413660515535,1,496.5885742154402,85.0,8.135957836199319,3.252690812202104,20-27Hz
fibra1,1084-1442Hz,1083.9640376106447,1441.686848480853,-70.86935647641702,-77.32357227248342,6.454215796066393,True,0.5873671360793996,False,,18,0,0.008853973319178268,0.026024504188241603,0.056361154523419055,4.39148408645483,13.784413660515535,1,496.5885742154402,85.0,8.135957836199319,3.252690812202104,20-27Hz
fibra1,1442-1917Hz,1441.686848480853,1917.463031028364,-71.42967780271212,-77.45052917495373,6.020851372241609,True,0.48375457588337056,False,,18,0,0.008853973319178268,0.026024504188241603,0.056361154523419055,4.39148408645483,13.784413660515535,1,496.5885742154402,85.0,8.135957836199319,3.252690812202104,20-27Hz
fibra1,1917-2550Hz,1917.463031028364,2550.251796522036,-70.62917514726799,-77.44156620913981,6.812391061871821,True,0.5625733305933074,False,,18,0,0.008853973319178268,0.026024504188241603,0.056361154523419055,4.39148408645483,13.784413660515535,1,496.5885742154402,85.0,8.135957836199319,3.252690812202104,20-27Hz
fibra1,2550-3392Hz,2550.251796522036,3391.8694235141465,-69.66959120167368,-77.48861399699523,7.819022795321544,True,0.318521595238834,False,,18,0,0.008853973319178268,0.026024504188241603,0.056361154523419055,4.39148408645483,13.784413660515535,1,496.5885742154402,85.0,8.135957836199319,3.252690812202104,20-27Hz
