id_fibra,classe,file,durata_s,rms_dbfs,picco_dbfs,crest_db,clipping_pct,baricentro_hz,banda_spettrale_hz,flatness_spettrale,rolloff_85_hz,rolloff_95_hz,picco_spettrale_hz,energia_bassa_pct,energia_media_pct,energia_alta_pct,livello_banda_bassa_db,livello_banda_media_db,livello_banda_alta_db,kurtosis,skewness,zero_crossing_rate_hz
fibra1,AUTO,campione_1785942203626.wav,10.0,-18.804142950430457,-0.0005301521241985359,18.803612798306258,0.0025,5998.194534409984,4444.619609036562,0.09332544052663637,11997.2,11999.5,0.4,42.15034543833591,3.623491886254389,54.226162675409675,97.09271150723242,86.43597305717611,98.18678885129339,39.20688949920608,-0.6315047439306478,1822.9
fibra1,AUTO,campione_1785942215127.wav,10.0,-17.545046976816472,-0.00026506767422515066,17.544781909142248,0.0008333333333333334,5999.962141835036,4461.837852299105,0.07338455023755412,11997.1,11999.1,0.7000000000000001,44.7035475698489,2.5283790454003983,52.7680733847507,119.6206542372375,107.14565616963505,120.34094672561207,23.968124712604926,-1.0062574083897844,1739.0
fibra1,AUTO,campione_1785942225118.wav,10.0,-18.79580438550907,-0.000795244664524571,18.795009140844545,0.0004166666666666667,5999.388866561254,4792.483878823444,0.026853862819388504,11998.6,11999.2,1.1,47.6795842166991,1.430554150232617,50.88986163306828,105.87497852902135,90.64669694998588,106.15796663409554,31.076661559761178,1.4592801635985322,1039.7
fibra1,AUTO,campione_1785942274390.wav,10.0,-15.036230576517944,-0.0005301521241985359,15.035700424393745,0.0025,5999.966458343923,4531.982308424821,0.1141017425539795,11987.6,11998.0,0.0,40.98223510551854,5.083773959364097,53.933990935117336,119.44716506357139,110.38307098127852,120.63983423737756,15.024714284991802,-0.19719249579101994,3645.7
fibra1,AUTO,campione_1785942299467.wav,10.0,-18.95705062706141,-0.012998255741151833,18.944052371320257,0.0,5998.843714395698,4831.154764783317,0.010868957815504789,11999.0,11999.300000000001,0.9,49.12556593813377,0.46234553997198696,50.41208852189424,108.2468482599761,87.98343931962444,108.35911949602668,25.638838248239523,0.8894430983767456,1371.0
fibra1,AUTO,campione_1785942321317.wav,10.0,-20.775255870263763,-0.015122269721930866,20.76013360054183,0.0,5997.620070389965,4316.342557760311,0.08635450328309924,11997.7,11999.6,28.3,40.992468475142445,4.178326900000251,54.82920462485729,95.28429365903472,85.367277094489,96.54737240426812,43.057336484141416,-1.142983779048445,2551.3
fibra1,AUTO,campione_1785942380742.wav,10.0,-17.78923931281906,-0.00026506767422515066,17.788974245144836,0.0016666666666666668,5998.7275411982255,4571.220807592489,0.0378211305108992,11997.800000000001,11998.800000000001,1.2000000000000002,46.97522819661008,1.3122828665933737,51.71248893679655,100.931666544981,85.3932521463837,101.3489319699349,20.577253357010157,0.2623315756061176,1260.5
fibra1,MOTORE,campione_1785917754688.wav,5.0,-6.544051557149192,8.685890352395823e-09,6.544051565835082,0.02666666666666667,5999.998790567956,4349.351013220871,0.09427708037568806,11901.2,12000.0,12000.0,37.10467683355729,9.55521042326076,53.34011274318195,123.43767430890313,117.54579032932313,125.0139270678315,0.2267711655982274,-0.11624360075918672,6112.4
fibra1,MOTORE,campione_1785917759760.wav,5.0,-6.434833122653993,8.685890352395823e-09,6.434833131339883,0.035,5999.99853837515,4288.551392464147,0.09345862785042339,11868.400000000001,12000.0,12000.0,37.009112194770985,9.496501329260875,53.49438647596811,123.46051628500763,117.55306594863328,125.06051172481679,0.16309202727008643,-0.1318038276439469,6354.8
fibra1,MOTORE,campione_1785917764721.wav,5.0,-6.467594740959455,8.685890352395823e-09,6.467594749645345,0.029166666666666667,5999.998200564243,4245.634518982997,0.07939636378379288,11901.2,12000.0,12000.0,38.18181990468206,8.697509397976258,53.120670697341694,123.57146563203843,117.14684845058574,125.00553488129648,0.14902647110237544,-0.1253288917220864,6224.0
fibra1,MOTORE,campione_1785917769822.wav,5.0,-6.379628767055863,8.685890352395823e-09,6.379628775741753,0.0225,5999.999050409947,4168.791988966031,0.06723622429467184,11901.0,12000.0,12000.0,39.943206344330555,7.1979629555209055,52.85883070014857,123.85137921340444,116.4090460468306,125.06812549261156,0.06489466509712916,-0.14885051412602457,6221.2
fibra1,MOTORE,campione_1785917774738.wav,5.0,-6.414567400528561,8.685890352395823e-09,6.414567409214452,0.025833333333333333,5999.999095250077,4158.818983191469,0.06413502963144446,11901.0,12000.0,12000.0,40.21106878912429,7.044278742011684,52.744652468864025,123.85969063111625,116.29459979197543,125.03801881671508,0.057054289427193705,-0.15233768110879448,6336.0
fibra1,MOTORE,campione_1785917779787.wav,5.0,-6.220131435614311,8.685890352395823e-09,6.220131444300201,0.021666666666666667,5999.999201263628,4168.922968011886,0.06477168909876839,11901.2,12000.0,12000.0,39.96500907753594,7.252595948556745,52.78239497390734,124.05127584362262,116.63941151443802,125.25936760630869,-0.0014191019229823354,-0.11478509734317052,5786.0
fibra1,MOTORE,campione_1785917784684.wav,5.0,-6.434425962519853,8.685890352395823e-09,6.4344259712057434,0.023333333333333334,5999.9982921318615,4279.387397018539,0.07105289427244366,11901.2,12000.0,12000.0,39.27292439394952,7.965456932482468,52.761618673568016,123.62764313039486,116.69881765368191,124.90989182336195,0.05641252039504163,-0.10134994435330666,4782.2
fibra1,MOTORE,campione_1785917789875.wav,5.0,-6.838287526371092,8.685890352395823e-09,6.838287535056982,0.018333333333333333,5999.9981204507585,4221.837147627752,0.07423431236069541,11901.2,12000.0,12000.0,38.151208127467115,8.873371652823225,52.97542021970969,123.06076620670966,116.72656997352482,124.48642735810259,0.2070810006200845,-0.2169349781790745,4902.6
fibra1,MOTORE,campione_1785917794887.wav,5.0,-6.987236352126034,8.685890352395823e-09,6.987236360811925,0.016666666666666666,5999.998305063367,4142.99996702887,0.07157365793888905,11802.6,11999.800000000001,12000.0,37.642957287843274,9.167953410453487,53.18908930170324,122.7693998130678,116.6352864401655,124.27078800815103,0.2518149285466893,-0.2519488515491133,5066.4
fibra1,MOTORE,campione_1785917799757.wav,5.0,-6.751149150221375,8.685890352395823e-09,6.751149158907265,0.024166666666666666,5999.996399091274,4503.649430923254,0.08511544579190052,11901.2,11999.800000000001,12000.0,38.82502415457574,8.470367311189845,52.704608534234396,123.26849320253328,116.65639829257788,124.59586177599887,0.13145465151826752,-0.13300740150881668,4602.4
fibra1,MOTORE,campione_1785917804810.wav,5.0,-7.142894987145677,8.685890352395823e-09,7.1428949958315675,0.015,5999.995525770355,4483.637637760416,0.06688355332362861,11901.2,12000.0,98.80000000000001,41.349796147374825,6.494473431239814,52.15573042138535,123.15425896317826,115.11496467926371,124.16254555388521,0.22494079559355296,-0.08765302992509413,3797.2
fibra1,MOTOREa5M,campione_1785918203242.wav,5.0,-23.297405605541094,-11.51262541007446,11.784780195466634,0.0,5999.693343411634,4496.292124111296,0.0028762394448657415,11950.6,11950.6,49.400000000000006,49.590344436512325,0.1794341303439802,50.230221433143704,107.46923494807817,83.0543142420442,107.5249146274688,2.1422267593828774,-1.2459588081460065,279.2
fibra1,MOTOREa5M,campione_1785918208359.wav,5.0,-23.33086703307761,-10.303788699801695,13.027078333275915,0.0,5999.5712397548095,4599.132131434409,0.003125292789043235,11950.6,11950.6,49.400000000000006,49.55458271381754,0.20476084543189382,50.24065644075054,107.47215871127204,83.63378961748212,107.5318735294498,2.2391982559799315,-1.2519328829601608,312.4
fibra1,MOTOREa5M,campione_1785918213233.wav,5.0,-23.346264367215134,-11.019091877205991,12.327172490009144,0.0,5999.69599186254,4505.099723030017,0.003372241348455087,11950.6,11950.6,49.400000000000006,49.50198210495854,0.23326541310004076,50.264752481941414,107.4330027428268,84.16528034988005,107.49941233755504,2.2133922267042525,-1.2261280210856784,349.2
fibra1,MOTOREa5M,campione_1785918218310.wav,5.0,-23.254282695073094,-10.472077597295076,12.782205097778018,0.0,5999.662739898143,4506.008334089096,0.0031905381543291295,11950.6,11950.6,49.400000000000006,49.52146818677996,0.21838941189789346,50.260142401322135,107.54812222138456,83.9925028898461,107.61242424936654,2.3009983976725454,-1.2453902490083473,382.4
fibra1,MOTOREa5M,campione_1785918223386.wav,5.0,-23.233924328112106,-11.117677735196727,12.11624659291538,0.0,5999.588187531081,4544.059852549603,0.0026694163878757367,11950.6,11950.6,49.400000000000006,49.618746757634845,0.16713930646918074,50.214113935895966,107.53409374563086,82.80842179419467,107.58589387311956,2.241808585705413,-1.217660387621829,348.4
fibra1,MOTOREa5M,campione_1785918228303.wav,5.0,-23.259694972531506,-10.746301721297005,12.5133932512345,0.0,5999.632223529713,4514.230192660679,0.0029265824284255585,11950.6,11950.6,49.400000000000006,49.571693774065025,0.19234021925256495,50.235966006682396,107.49934739749105,83.38771088314266,107.55715739433923,2.2903705910833665,-1.2349204972785974,364.0
fibra1,MOTOREa5M,campione_1785918233382.wav,5.0,-23.232328633703062,-10.718031175278156,12.514297458424906,0.0,5999.6248765636565,4512.30397862559,0.0032950319140630105,11950.6,11950.6,49.400000000000006,49.51051684976325,0.23373794645168292,50.25574520378506,107.5292387217774,84.26955636285007,107.59412129329918,2.33984919691272,-1.2459920058648981,360.0
